7188659,6999902,7188660,7.19041e+06 
3017252,2952382,3017253,3.00723e+06 
7876665,7653665,7876667,9.60267e+06 
2044656,1988855,2044656,2.04018e+06 
4144913,4073949,4144913,4.1265e+06 
2926592,2836841,2926592,2.92326e+06 
1039694,1015645,1039694,1.03969e+06 
412718,404432,412718,412718 
3358370,3276007,3358371,9.36605e+06 
5827586,5668006,5827586,8.18642e+06 
6539896,6400686,6539895,6.53989e+06 
4556852,4453985,4556852,4.5437e+06 
8045496,7805998,8045496,8.04793e+06 
621628,609799,621628,621305 
9070596,8976763,9070594,9.07312e+06 
3105799,3013603,3105800,3.10672e+06 
9431067,9137101,9431068,9.43107e+06 
382452,373316,382452,382452 
3960450,3854349,3960450,3.95508e+06 
9715688,9542760,9715689,9.7189e+06 
7677146,7503081,7677147,9.98233e+06 
3357850,3247627,3357850,3.36385e+06 
3658126,3537259,3658127,3.65896e+06 
8286338,8092381,8286338,8.28951e+06 
9140244,8877394,9140246,9.14024e+06 
1728143,1694325,1728143,1.72855e+06 
9068213,8884552,9068211,9.06821e+06 
1931254,1883931,1931254,1.92281e+06 
678933,662223,678933,678913 
1657919,1605400,1657920,1.65825e+06 
2863608,2800578,2863608,2.85371e+06 
8331021,8161143,8331022,9.09896e+06 
7807590,7671682,7807588,7.81138e+06 
9851071,9716937,9851069,9.85107e+06 
1307618,1273243,1307618,1.30762e+06 
2643503,2567337,2643503,2.63272e+06 
3143556,3045923,3143556,3.13896e+06 
9412492,9140417,9412495,9.41249e+06 
5673232,5575509,5673233,5.67514e+06 
3290798,3202398,3290799,3.28479e+06 
2581092,2495033,2581092,2.58031e+06 
6514943,6302713,6514944,6.51494e+06 
2454004,2387950,2454004,2.45732e+06 
6765624,6602837,6765623,6.76562e+06 
8963100,8686178,8963100,8.96569e+06 
695990,676779,695990,695990 
9152896,8931855,9152894,9.15617e+06 
4447364,4297247,4447365,4.43621e+06 
981913,950677,981913,981870 
9065889,8898257,9065890,9.0717e+06 
3921407,3827768,3921407,3.92738e+06 
6994833,6816007,6994830,6.9969e+06 
4917279,4768177,4917279,4.91728e+06 
1304393,1275816,1304394,1.30439e+06 
8178830,7933527,8178831,9.41866e+06 
7886354,7768093,7886354,7.88973e+06 
5609803,5466235,5609805,9.1162e+06 
8872371,8751869,8872370,8.87545e+06 
3031119,2942465,3031119,3.02618e+06 
9799427,9509611,9799427,9.80282e+06 
6073099,5934958,6073099,8.87107e+06 
7151357,6974281,7151358,9.53542e+06 
351217,340407,351217,351217 
8529318,8330530,8529319,8.52932e+06 
7388442,7189061,7388443,8.28504e+06 
1975270,1917407,1975270,1.97201e+06 
2402066,2337097,2402066,2.39839e+06 
8677086,8419696,8677085,8.67708e+06 
1437747,1407541,1437747,1.43775e+06 
7249036,7111577,7249039,7.25111e+06 
1510167,1468371,1510168,1.51017e+06 
6807265,6667678,6807265,8.97304e+06 
4776944,4666812,4776945,8.68507e+06 
2432046,2426239,2432046,2.42375e+06 
7512271,7307913,7512273,9.9377e+06 
9672068,9446342,9672067,9.67207e+06 
171106,166601,171106,171106 
618236,601100,618236,618236 
9389801,9122101,9389797,9.3898e+06 
4892565,4805051,4892566,4.90105e+06 
2016084,1978680,2016084,2.01467e+06 
3711077,3605111,3711077,9.22973e+06 
9223841,8982252,9223844,9.2267e+06 
535702,520202,535702,535702 
981633,957882,981633,981633 
5524949,5391381,5524949,5.52495e+06 
9390429,9193660,9390430,9.39501e+06 
2549507,2508274,2549507,2.55398e+06 
3057076,2951702,3057076,3.04564e+06 
3049684,2964714,3049684,8.74503e+06 
7708455,7471757,7708458,7.71068e+06 
2017630,1972042,2017630,2.02826e+06 
4846185,4750844,4846186,4.83467e+06 
1559034,1521881,1559034,1.55903e+06 
9157600,8891033,9157602,9.16017e+06 
7405012,7253754,7405010,7.40958e+06 
4054168,3932363,4054168,4.04564e+06 
4886384,4799264,4886386,7.16197e+06 
100879,98576,100879,100879 
7818480,7597720,7818480,9.58986e+06 
